family,method,p1_true,p2_true,tau_true,J,rep,obs,secs,acc,ess_p2,ess_tau,p1,p1_cilen,p1_cov,p2,p2_cilen,p2_cov,tau,tau_cilen,tau_cov
cnn1d,CNN1D-ABC,0.0001,0.01,3.0,100,0,0.3545931311129315,1.7595629692077637,0.10370123374458153,7.75857224753686,11.082656295166604,0.0059148715246427125,0.027931502593653682,1,0.011049974389503323,0.028813456981916605,1,5.891978805386882,8.955527387427026,1
cnn1d,CNN1D-ABC,0.0001,0.01,3.0,100,2,0.3537659665940649,1.732295036315918,0.14038012670890296,8.0592106342825,12.157624269366675,0.010137725809800978,0.03981231190793032,1,0.008085853474281052,0.0224872671942722,1,5.190970277496233,8.657074328886738,1
cnn1d,CNN1D-ABC,0.0001,0.01,3.0,100,3,0.34826652280891823,1.730640172958374,0.13204401467155719,12.343675132461142,13.622171660006483,0.008081766571547728,0.045417574166534906,1,0.011096318754804279,0.01727083003260664,1,4.666421195648736,8.495866834736773,1
cnn1d,CNN1D-ABC,0.0001,0.01,3.0,100,6,0.34907226588054713,1.7418222427368164,0.11737245748582861,3.29310935906893,17.834531447817046,0.010975781340373046,0.04534924245456241,1,0.007653692622659124,0.03552390533746606,1,6.045241437619406,8.421085978435855,1
cnn1d,CNN1D-ABC,0.0001,0.01,3.0,100,1,0.34805602082884446,1.7297401428222656,0.11770590196732245,14.013316597371894,20.484579095021886,0.01921090706780092,0.03741385821328823,0,0.00024325644704361043,0.0010899973964772324,0,6.85120927133386,5.898606037863726,0
cnn1d,CNN1D-ABC,0.0001,0.01,3.0,100,4,0.3316346509921905,1.744718313217163,0.14404801600533512,8.277862146822285,24.644252991398186,0.010402823598486304,0.03781004014203189,0,0.00794961550643016,0.02823527492061769,1,5.8773180391531445,8.322955450402281,1
cnn1d,CNN1D-ABC,0.0001,0.01,3.0,100,8,0.35202295416231294,1.7328438758850098,0.11237079026342114,6.381374267351418,13.587237408542178,0.007775616314741452,0.03523547124233739,1,0.010641126573017514,0.04358195951137542,1,5.126407515812456,8.745450120312206,1
cnn1d,CNN1D-ABC,0.0001,0.01,3.0,100,5,0.3511469273463375,1.7396128177642822,0.136378792930977,14.286087820862532,41.89753843895816,0.020210748451397486,0.03893480186061703,0,0.000561562686464856,0.00819182094706857,0,6.346940009501826,5.303502754912029,0
cnn1d,CNN1D-ABC,0.0001,0.01,3.0,100,7,0.342881020903345,1.730909824371338,0.14438146048682896,7.653037667081836,20.732110816739493,0.018005728358699243,0.04520558223742437,0,0.0020058411396809603,0.009871038317812726,0,6.173675535210631,7.407629106165479,1
cnn1d,CNN1D-ABC,0.0001,0.01,3.0,100,11,0.3458800514601541,1.7411372661590576,0.12570856952317438,10.448280616705825,21.957508828992744,0.015482877198798137,0.03632886449918629,0,0.0009231810614716336,0.007586981585414286,0,7.450060158851105,5.971510052615589,0
cnn1d,CNN1D-ABC,0.0001,0.01,3.0,100,10,0.34874337766869884,1.7447926998138428,0.11703901300433478,8.012183837759848,20.207386055993016,0.0039019201629216377,0.031535722176395366,1,0.014816394949126474,0.047616412204035806,1,5.584733633997423,8.448781437399797,1
cnn1d,CNN1D-ABC,0.0001,0.01,3.0,100,9,0.3618932298167794,1.7359859943389893,0.09803267755918639,10.828330842934607,13.406063312082765,0.0018135779852388575,0.011331672545050315,1,0.022475791177601026,0.04520532973365149,1,6.953004569134936,8.391753641604438,1
cnn1d,CNN1D-ABC,0.0001,0.01,3.0,100,12,0.3500848183773366,1.7671289443969727,0.12437479159719907,9.502972887919208,8.430573241175162,0.007774061970122294,0.04870542990900346,1,0.008747092077430582,0.022769670864963242,1,4.557970196815266,9.396716201879432,1
cnn1d,CNN1D-ABC,0.0001,0.01,3.0,100,15,0.3569561059043137,1.7158737182617188,0.1150383461153718,9.499326578391283,7.753036166929619,0.002232434891649007,0.033953222279476745,1,0.017374105768867817,0.04010162931098275,1,5.0128949650829115,8.709065489356025,1
cnn1d,CNN1D-ABC,0.0001,0.01,3.0,100,13,0.3400954907149223,1.7582190036773682,0.13704568189396465,13.229471210618238,19.0577717692224,0.0061864258899412775,0.03451925629736309,1,0.011886626751287491,0.0441630761748872,1,5.718058939242707,9.263659119556037,1
cnn1d,CNN1D-ABC,0.0001,0.01,7.0,100,3,0.2438129332118521,1.7324979305267334,0.1480493497832611,7.991940208561334,8.508878584347821,0.007329633194317598,0.035363913922665476,1,0.002349949052957192,0.00569783849214525,0,5.225770772367719,9.110175897022465,1
cnn1d,CNN1D-ABC,0.0001,0.01,3.0,100,14,0.3426861408671848,1.7494678497314453,0.1193731243747916,7.772294331744638,21.356643037321867,0.01345305010063773,0.029183598369476232,0,0.0018651832396647716,0.01622264789093847,1,7.4550125395697355,6.65015628818469,1
cnn1d,CNN1D-ABC,0.0001,0.01,7.0,100,0,0.23801101373851008,1.764362096786499,0.15538512837612536,8.131313825395507,10.658652312802765,0.0033741907453711637,0.01684357212650366,1,0.004571713898071416,0.013200950507663182,1,5.557119842357073,9.317698966872001,1
cnn1d,CNN1D-ABC,0.0001,0.01,7.0,100,7,0.23817601646814418,1.7462122440338135,0.13071023674558185,8.903692689630045,9.357250771524676,0.002629715047263645,0.01886805505973163,1,0.010865613508111561,0.03251436823339776,1,6.640058726072253,9.099743825531325,1
cnn1d,CNN1D-ABC,0.0001,0.01,7.0,100,5,0.24449183792662063,1.724435806274414,0.15471823941313773,7.496449148251363,12.328944119682706,0.003909292332880391,0.02197229687251725,1,0.0045005297277961485,0.011921299079512391,1,4.96446207321875,9.104930995657408,1
cnn1d,CNN1D-ABC,0.0001,0.01,7.0,100,2,0.2433066118770664,1.750035047531128,0.14871623874624876,6.626767804455285,10.985540689199162,0.004555428477383547,0.033404644581646326,1,0.005542159514873992,0.021931201229520404,1,4.3407114970515055,9.532563545540494,1
cnn1d,CNN1D-ABC,0.0001,0.01,7.0,100,4,0.24280340192721586,1.744523048400879,0.13304434811603869,19.793606727241862,24.234527529501342,0.0038917784304410142,0.028841424323919895,1,0.004652414542552821,0.008195802554287531,0,3.93414254676357,8.619815151515738,1
cnn1d,CNN1D-ABC,0.0001,0.01,7.0,100,1,0.23687849388068602,1.762470006942749,0.12604201400466822,4.7162348958448375,17.93103977518582,0.00921529139417176,0.03087260829627379,0,0.0009951540562227793,0.00483108503789423,0,6.6247424691059225,8.696704799534217,1
