p1,p2,tau,J,method,param,n,rmse_log,rmse_log_mcse,coverage,coverage_mcse
0.0001,0.01,3.0,100,GPS-ABC,p1,16,1.8464425996374945,0.03813514227861383,1.0,0.0
0.0001,0.01,3.0,100,GPS-ABC,p2,16,0.08252957362276594,0.010750774464050863,1.0,0.0
0.0001,0.01,3.0,100,GPS-ABC,tau,16,2.2591478228346245,0.17678863722022867,1.0,0.0
0.0001,0.01,3.0,100,GPS-ABC-ref,p1,16,1.8519998716666937,0.01548633473672331,1.0,0.0
0.0001,0.01,3.0,100,GPS-ABC-ref,p2,16,0.15584343436388762,0.03826989180714386,1.0,0.0
0.0001,0.01,3.0,100,GPS-ABC-ref,tau,16,3.081757275505647,0.10159235081523527,1.0,0.0
0.0001,0.01,3.0,100,DNN-ABC,p1,16,1.864698799100592,0.05524416041802829,1.0,0.0
0.0001,0.01,3.0,100,DNN-ABC,p2,16,0.13218514651735228,0.016388185067433822,1.0,0.0
0.0001,0.01,3.0,100,DNN-ABC,tau,16,2.5500276194752893,0.12590798431339448,1.0,0.0
0.0001,0.01,7.0,100,GPS-ABC,p1,16,1.8381728917575346,0.029725016338264167,1.0,0.0
0.0001,0.01,7.0,100,GPS-ABC,p2,16,0.24700834208608313,0.025678170184329167,1.0,0.0
0.0001,0.01,7.0,100,GPS-ABC,tau,16,1.3046970086266678,0.1261401128428905,1.0,0.0
0.0001,0.01,7.0,100,GPS-ABC-ref,p1,16,1.6534193533192554,0.017611676185655893,1.0,0.0
0.0001,0.01,7.0,100,GPS-ABC-ref,p2,16,0.3994531451571329,0.030846065127206758,1.0,0.0
0.0001,0.01,7.0,100,GPS-ABC-ref,tau,16,1.2432893192166143,0.062196848663173335,1.0,0.0
0.0001,0.01,7.0,100,DNN-ABC,p1,16,1.7891171923898028,0.055348725320384616,0.875,0.08267972847076846
0.0001,0.01,7.0,100,DNN-ABC,p2,16,0.2694933491310188,0.0407843114954532,1.0,0.0
0.0001,0.01,7.0,100,DNN-ABC,tau,16,1.5967807016090687,0.18454653560460202,1.0,0.0
0.002,0.008,5.0,100,GPS-ABC,p1,16,0.4895803839500661,0.03944876108665672,1.0,0.0
0.002,0.008,5.0,100,GPS-ABC,p2,16,0.13787232090125137,0.03448631429969127,1.0,0.0
0.002,0.008,5.0,100,GPS-ABC,tau,16,0.7014626863776751,0.08657000386458734,1.0,0.0
0.002,0.008,5.0,100,GPS-ABC-ref,p1,16,0.4219981304133674,0.01871350840830674,1.0,0.0
0.002,0.008,5.0,100,GPS-ABC-ref,p2,16,0.16654101839904023,0.022875317311657477,1.0,0.0
0.002,0.008,5.0,100,GPS-ABC-ref,tau,16,1.0712422671218063,0.06448655027205547,1.0,0.0
0.002,0.008,5.0,100,DNN-ABC,p1,16,0.5679506072433746,0.053099885209988075,0.9375,0.06051536478449089
0.002,0.008,5.0,100,DNN-ABC,p2,16,0.3724065043248496,0.1371565989958569,0.9375,0.06051536478449089
0.002,0.008,5.0,100,DNN-ABC,tau,16,1.112130411848449,0.18514338668938976,1.0,0.0
