p,a,delta,J,n,ABC-MCMC,GPS-ABC,DNN-ABC
0.001,1.0,0.5,50,32,0.96875,1.0,0.84375
0.001,1.0,0.5,100,32,0.90625,1.0,0.90625
0.001,1.0,1.0,50,32,0.875,0.9375,0.6875
0.001,1.0,1.0,100,32,0.96875,1.0,0.9375
0.001,1.5,1.5,50,32,0.78125,0.96875,0.625
0.001,1.5,1.5,100,32,0.9375,1.0,0.9375
0.01,1.0,0.5,50,32,0.9375,1.0,0.90625
0.01,1.0,0.5,100,32,1.0,1.0,0.96875
0.01,1.0,1.0,50,32,0.96875,1.0,0.90625
0.01,1.0,1.0,100,32,0.9375,1.0,0.90625
0.01,1.5,1.5,50,32,0.875,1.0,0.78125
0.01,1.5,1.5,100,32,0.96875,1.0,0.96875
