a,delta,n,mse_log
0.5,0.5,20,0.0022539212368428707
0.5,0.666666666666667,20,0.004224697593599558
0.5,0.833333333333333,20,0.004232738167047501
0.5,1.0,20,0.0031345528550446033
0.5,1.16666666666667,20,0.007865252904593945
0.5,1.33333333333333,20,0.015123111195862293
0.5,1.5,20,0.015259395353496075
0.5,1.66666666666667,20,0.01556184608489275
0.5,1.83333333333333,20,0.052498798817396164
0.5,2.0,20,0.11181886494159698
0.666666666666667,0.5,20,0.0021829293109476566
0.666666666666667,0.666666666666667,20,0.002258592750877142
0.666666666666667,0.833333333333333,20,0.003442662302404642
0.666666666666667,1.0,20,0.006699837744235992
0.666666666666667,1.16666666666667,20,0.003455634694546461
0.666666666666667,1.33333333333333,20,0.009850157424807549
0.666666666666667,1.5,20,0.01455654390156269
0.666666666666667,1.66666666666667,20,0.01966874673962593
0.666666666666667,1.83333333333333,20,0.020377352833747864
0.666666666666667,2.0,20,0.09249390661716461
0.833333333333333,0.5,20,0.0014445589622482657
0.833333333333333,0.666666666666667,20,0.0021794550120830536
0.833333333333333,0.833333333333333,20,0.002620212035253644
0.833333333333333,1.0,20,0.003077064175158739
0.833333333333333,1.16666666666667,20,0.004917568527162075
0.833333333333333,1.33333333333333,20,0.015592972747981548
0.833333333333333,1.5,20,0.008723652921617031
0.833333333333333,1.66666666666667,20,0.0132045429199934
0.833333333333333,1.83333333333333,20,0.025693092495203018
0.833333333333333,2.0,20,0.05210641026496887
1.0,0.5,20,0.0020899304654449224
1.0,0.666666666666667,20,0.0023116448428481817
1.0,0.833333333333333,20,0.005931023042649031
1.0,1.0,20,0.0038215648382902145
1.0,1.16666666666667,20,0.0036659501492977142
1.0,1.33333333333333,20,0.024653494358062744
1.0,1.5,20,0.035679642111063004
1.0,1.66666666666667,20,0.00821533054113388
1.0,1.83333333333333,20,0.020630819723010063
1.0,2.0,20,0.011705273762345314
1.16666666666667,0.5,20,0.0016712227370589972
1.16666666666667,0.666666666666667,20,0.003176334546878934
1.16666666666667,0.833333333333333,20,0.0034312151838093996
1.16666666666667,1.0,20,0.005729797761887312
1.16666666666667,1.16666666666667,20,0.006547729484736919
1.16666666666667,1.33333333333333,20,0.009840944781899452
1.16666666666667,1.5,20,0.02241136133670807
1.16666666666667,1.66666666666667,20,0.020723717287182808
1.16666666666667,1.83333333333333,20,0.014731143601238728
1.16666666666667,2.0,20,0.02972598373889923
1.33333333333333,0.5,20,0.0011176636908203363
1.33333333333333,0.666666666666667,20,0.0024639214389026165
1.33333333333333,0.833333333333333,20,0.0018787787994369864
1.33333333333333,1.0,20,0.0039731590077281
1.33333333333333,1.16666666666667,20,0.0048631844110786915
1.33333333333333,1.33333333333333,20,0.01017873827368021
1.33333333333333,1.5,20,0.013189856894314289
1.33333333333333,1.66666666666667,20,0.08793126046657562
1.33333333333333,1.83333333333333,20,0.012304402887821198
1.33333333333333,2.0,20,0.036019474267959595
1.5,0.5,20,0.0009360876865684986
1.5,0.666666666666667,20,0.0018821517005562782
1.5,0.833333333333333,20,0.002037260215729475
1.5,1.0,20,0.005378793925046921
1.5,1.16666666666667,20,0.0070176078006625175
1.5,1.33333333333333,20,0.005486954934895039
1.5,1.5,20,0.028542134910821915
1.5,1.66666666666667,20,0.009139143861830235
1.5,1.83333333333333,20,0.07060540467500687
1.5,2.0,20,0.01833483949303627
1.66666666666667,0.5,20,0.0018758056685328484
1.66666666666667,0.666666666666667,20,0.0019592507742345333
1.66666666666667,0.833333333333333,20,0.004602660425007343
1.66666666666667,1.0,20,0.0054335203021764755
1.66666666666667,1.16666666666667,20,0.00650738924741745
1.66666666666667,1.33333333333333,20,0.010690691880881786
1.66666666666667,1.5,20,0.005192045122385025
1.66666666666667,1.66666666666667,20,0.032013941556215286
1.66666666666667,1.83333333333333,20,0.020178331062197685
1.66666666666667,2.0,20,0.024334022775292397
1.83333333333333,0.5,20,0.0030776923522353172
1.83333333333333,0.666666666666667,20,0.0032468370627611876
1.83333333333333,0.833333333333333,20,0.004476820584386587
1.83333333333333,1.0,20,0.002247678581625223
1.83333333333333,1.16666666666667,20,0.005734032019972801
1.83333333333333,1.33333333333333,20,0.010237617418169975
1.83333333333333,1.5,20,0.016056673601269722
1.83333333333333,1.66666666666667,20,0.015046055428683758
1.83333333333333,1.83333333333333,20,0.014304948970675468
1.83333333333333,2.0,20,0.02127687633037567
2.0,0.5,20,0.002231340389698744
2.0,0.666666666666667,20,0.0025237540248781443
2.0,0.833333333333333,20,0.0036686479579657316
2.0,1.0,20,0.00826666597276926
2.0,1.16666666666667,20,0.007720396853983402
2.0,1.33333333333333,20,0.01776927337050438
2.0,1.5,20,0.01157162245362997
2.0,1.66666666666667,20,0.017713557928800583
2.0,1.83333333333333,20,0.020440492779016495
2.0,2.0,20,0.01850556582212448
