p1,p2,tau,J,method,param,n,rmse_log,rmse_log_mcse,coverage,coverage_mcse
0.0001,0.01,3.0,100,GPS-ABC,p1,16,1.8464425996374942,0.03813514227861383,1.0,0.0
0.0001,0.01,3.0,100,GPS-ABC,p2,16,0.08252957362276594,0.010750774464050863,1.0,0.0
0.0001,0.01,3.0,100,GPS-ABC,tau,16,2.2591478228346245,0.17678863722022867,1.0,0.0
0.0001,0.01,3.0,100,DNN-ABC,p1,16,1.864698799100592,0.05524416041802829,1.0,0.0
0.0001,0.01,3.0,100,DNN-ABC,p2,16,0.13218514651735228,0.016388185067433822,1.0,0.0
0.0001,0.01,3.0,100,DNN-ABC,tau,16,2.5500276194752893,0.1259079843133945,1.0,0.0
0.0001,0.01,3.0,100,CNN1D-ABC,p1,16,1.7948711779661148,0.06828405712711516,0.9375,0.06051536478449089
0.0001,0.01,3.0,100,CNN1D-ABC,p2,16,0.20189907798607235,0.051502256736068217,1.0,0.0
0.0001,0.01,3.0,100,CNN1D-ABC,tau,16,2.2481712301287997,0.19889457436102184,1.0,0.0
0.0001,0.01,3.0,100,RNN-ABC,p1,16,1.8560975850058232,0.0441574346975139,0.9375,0.06051536478449089
0.0001,0.01,3.0,100,RNN-ABC,p2,16,0.12682185407574706,0.019439492399832645,1.0,0.0
0.0001,0.01,3.0,100,RNN-ABC,tau,16,2.4710278374909653,0.2011091440798148,1.0,0.0
0.0001,0.01,3.0,100,LSTM-ABC,p1,16,1.7761232914083638,0.06671078301713755,0.9375,0.06051536478449089
0.0001,0.01,3.0,100,LSTM-ABC,p2,16,0.113812627438034,0.013607250314903062,1.0,0.0
0.0001,0.01,3.0,100,LSTM-ABC,tau,16,2.422729584447939,0.2137902372797926,1.0,0.0
0.0001,0.01,7.0,100,GPS-ABC,p1,16,1.8381728917575346,0.029725016338264163,1.0,0.0
0.0001,0.01,7.0,100,GPS-ABC,p2,16,0.24700834208608313,0.025678170184329167,1.0,0.0
0.0001,0.01,7.0,100,GPS-ABC,tau,16,1.3046970086266678,0.1261401128428905,1.0,0.0
0.0001,0.01,7.0,100,DNN-ABC,p1,16,1.7891171923898028,0.055348725320384616,0.875,0.08267972847076846
0.0001,0.01,7.0,100,DNN-ABC,p2,16,0.2694933491310188,0.0407843114954532,1.0,0.0
0.0001,0.01,7.0,100,DNN-ABC,tau,16,1.5967807016090687,0.184546535604602,1.0,0.0
0.0001,0.01,7.0,100,CNN1D-ABC,p1,16,1.714749916196559,0.061746712950300216,0.9375,0.06051536478449089
0.0001,0.01,7.0,100,CNN1D-ABC,p2,16,0.24021992898492323,0.02597587164981436,0.9375,0.06051536478449089
0.0001,0.01,7.0,100,CNN1D-ABC,tau,16,1.6498854888022179,0.20105082825253817,1.0,0.0
0.0001,0.01,7.0,100,RNN-ABC,p1,16,1.7713996825044336,0.06228239821224753,0.8125,0.09757809372497497
0.0001,0.01,7.0,100,RNN-ABC,p2,16,0.6380829450662743,0.1818044193191883,0.8125,0.09757809372497497
0.0001,0.01,7.0,100,RNN-ABC,tau,16,1.566278733195003,0.19715115931584742,1.0,0.0
0.0001,0.01,7.0,100,LSTM-ABC,p1,16,1.8307780083959528,0.037972230369910806,1.0,0.0
0.0001,0.01,7.0,100,LSTM-ABC,p2,16,0.3261560092705662,0.060843941707927736,0.875,0.08267972847076846
0.0001,0.01,7.0,100,LSTM-ABC,tau,16,1.5203256380748726,0.1430188094198173,1.0,0.0
0.002,0.008,5.0,100,GPS-ABC,p1,16,0.4895803839500661,0.03944876108665672,1.0,0.0
0.002,0.008,5.0,100,GPS-ABC,p2,16,0.13787232090125137,0.03448631429969127,1.0,0.0
0.002,0.008,5.0,100,GPS-ABC,tau,16,0.7014626863776751,0.08657000386458734,1.0,0.0
0.002,0.008,5.0,100,DNN-ABC,p1,16,0.5679506072433746,0.053099885209988075,0.9375,0.06051536478449089
0.002,0.008,5.0,100,DNN-ABC,p2,16,0.3724065043248496,0.1371565989958569,0.9375,0.06051536478449089
0.002,0.008,5.0,100,DNN-ABC,tau,16,1.112130411848449,0.18514338668938976,1.0,0.0
0.002,0.008,5.0,100,CNN1D-ABC,p1,16,0.6092387273212986,0.04053220746339529,1.0,0.0
0.002,0.008,5.0,100,CNN1D-ABC,p2,16,0.16725367826050996,0.0470643226045147,1.0,0.0
0.002,0.008,5.0,100,CNN1D-ABC,tau,16,1.1664300038582693,0.16803901290944115,1.0,0.0
0.002,0.008,5.0,100,RNN-ABC,p1,16,0.5053447868917302,0.05027859699788149,1.0,0.0
0.002,0.008,5.0,100,RNN-ABC,p2,16,0.1713660779778079,0.02108797139321163,1.0,0.0
0.002,0.008,5.0,100,RNN-ABC,tau,16,1.0623294565952661,0.12751534702271186,1.0,0.0
0.002,0.008,5.0,100,LSTM-ABC,p1,16,0.5612205946071469,0.04646726521924963,1.0,0.0
0.002,0.008,5.0,100,LSTM-ABC,p2,16,0.18704282570003158,0.024642688164688762,1.0,0.0
0.002,0.008,5.0,100,LSTM-ABC,tau,16,0.950077956163195,0.1365835309359159,1.0,0.0
